2026-03-31T11:46:44
3.180000000000000160e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.590000000000000080e+00 2.753960784034514830e+00 0.000000000000000000e+00
0.000000000000000000e+00 -0.000000000000000000e+00 4.318999999999999773e+01
27
109
1 1 1 1 1 2 2 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 2 2 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 2 2 1 2 2 1 2 2 1 1 1 1 
2 2 1 1 1 1 1 1 2 2 1 2 2 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 2 2 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 

0 0 0
1 1	6.212625514706082264e+00	6.259839283846889673e-17
1 2	7.005107811360705140e-16	3.115370277178121602e-17
1 3	5.488598386347996226e-16	6.771068575776532662e-19
1 4	-1.227309993904166761e-16	-3.898052920191423185e-16
1 5	-5.286873819894872315e-17	-1.841296384682273461e-17
1 6	-3.417770052986481950e-17	-8.722491476085462787e-17
1 7	-1.025143484778608061e+00	-1.145882696231678215e-16
1 8	-2.547547974228129958e-17	2.504840491633392911e-17
1 9	-1.244303516896685769e-15	2.840577774894336699e-17
1 10	-2.402307188754153167e+00	3.050640734091829279e-16
1 11	-1.523814603509506149e+00	1.474545402328279879e-16
1 12	-1.756578248722834745e+00	5.207512802540922185e-17
1 13	-2.639324314593890719e+00	-1.246233801822566481e-16
1 14	-9.825566376865080276e-01	-1.144429740031194310e-16
1 15	-8.606364143570621739e-01	-2.028020564094764031e-16
1 16	-1.774484431051303462e-02	7.012140925926174096e-17
1 17	-1.490665996510334379e+00	-1.493176040172307891e-16
1 18	-5.672793392623582953e-01	-1.892299164076731401e-17
1 19	-2.402307188754153167e+00	1.478739857283801940e-16
1 20	-1.523814603509507037e+00	3.222727738553199341e-16
1 21	1.756578248722834079e+00	-1.219373892168766448e-16
1 22	-2.639324314593892939e+00	1.738205839661341577e-16
1 23	-9.825566376865074725e-01	-6.042521883653965832e-18
1 24	8.606364143570619518e-01	1.969166055160118872e-16
1 25	-1.774484431051279176e-02	1.083568359924301621e-16
1 26	1.490665996510334379e+00	4.655852459650756253e-17
1 27	-5.672793392623581843e-01	2.444202983433043133e-17
2 1	7.033430349681570893e-16	-1.483317746266739059e-16
2 2	7.401911920210152651e+00	5.946957287859657068e-17
2 3	-1.483838047962301900e-16	6.699187926225050380e-16
2 4	3.549758136215128167e-16	7.435804219593880682e-16
2 5	5.475690742033973841e-17	-3.598741376401741860e-16
2 6	1.372389907012162123e-15	-5.108143499145827499e-16
2 7	3.681929981712499790e-17	-1.170243641883550459e-16
2 8	-1.021191609729704764e-16	-2.653226919865873813e-16
2 9	1.840954642546944520e+00	-2.324858651285413466e-16
2 10	1.453803033250266497e+00	-3.686786904731375670e-16
2 11	-7.601117549776940235e-04	-3.872826488804599137e-16
2 12	1.266758625845366470e+00	1.233321870983345440e-15
2 13	1.431953824468336300e+00	-1.619679196562425471e-16
2 14	-3.545181872594360684e-01	-3.475007508267336631e-16
2 15	-1.677959563367406870e-01	-6.170239377766259062e-16
2 16	4.113543191509309027e-01	2.683235258141718978e-16
2 17	8.040116552530831573e-01	1.463129117069962421e-16
2 18	8.250364077288129261e-01	-7.369530137903176196e-17
2 19	1.453803033250267607e+00	7.794687050488747246e-16
2 20	-7.601117549781179466e-04	1.171447862156155178e-16
2 21	-1.266758625845366693e+00	6.533325996469237397e-16
2 22	1.431953824468336522e+00	-3.734363593560478875e-16
2 23	-3.545181872594368455e-01	-1.104539348233842681e-16
2 24	1.677959563367412699e-01	-1.284882519697689297e-16
2 25	4.113543191509306807e-01	5.373526144710432902e-16
2 26	-8.040116552530823801e-01	-4.319615291499478868e-16
2 27	8.250364077288118159e-01	-2.979206628165382247e-16
3 1	-2.225522019769384751e-15	-5.263249737266179981e-17
3 2	1.043326205766114153e-16	-7.510297206707373162e-16
3 3	1.031042591615546655e+01	1.267512610114466710e-16
3 4	2.535215262007441138e-16	-2.110586712063554713e-16
3 5	3.647528641851690215e-20	5.925447396756852499e-17
3 6	-2.931382716209567449e-16	-4.236053612840074402e-16
3 7	-1.174634919058855433e-15	-7.517463136072318656e-17
3 8	-2.756727063230897443e-16	8.816247856088393139e-17
3 9	5.578849640991804039e-16	-5.131341653963395155e-17
3 10	3.177973931971459276e+00	1.860905921695954453e-16
3 11	1.750877606096812533e+00	1.180747395520354478e-16
3 12	1.375273408156668875e+00	1.318720095500546633e-16
3 13	3.032608971594248359e+00	1.679702251158479758e-16
3 14	9.988013530759285441e-01	-1.293406663933049116e-15
3 15	3.940510521901557373e-01	-3.908698207520861937e-16
3 16	-8.635862331222363686e-01	-4.050064296972558921e-16
3 17	6.825164431693259148e-01	3.248171422422366349e-16
3 18	5.766582300653501081e-01	-4.880466372419262517e-16
3 19	-3.177973931971457944e+00	-2.332948227043714863e-16
3 20	-1.750877606096812533e+00	2.042895249321597116e-16
3 21	1.375273408156667321e+00	3.256453758953100135e-16
3 22	-3.032608971594248359e+00	-1.125063298260961293e-16
3 23	-9.988013530759277669e-01	1.983537667253498232e-15
3 24	3.940510521901556262e-01	-7.757034702171620960e-16
3 25	8.635862331222361465e-01	5.562959885612133773e-16
3 26	6.825164431693248046e-01	7.692726460121068569e-16
3 27	-5.766582300653494420e-01	7.437748275563521535e-16
4 1	2.945543985369999832e-16	3.587557743694373054e-16
4 2	-1.510535377112820529e-17	-8.127621493609919256e-16
4 3	2.906586058082599104e-16	1.780850397226002490e-16
4 4	7.401911920210157092e+00	-6.055403967476675475e-17
4 5	1.840954642546944742e+00	2.474406237107824404e-16
4 6	-6.786570661125078582e-16	9.976944938397289109e-17
4 7	4.673218822942789058e-16	7.741817743449905879e-17
4 8	2.151323157924551373e-15	2.334884641151188506e-16
