2026-03-31T12:27:24
3.180000000000000160e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.590000000000000080e+00 2.753960784034514830e+00 0.000000000000000000e+00
0.000000000000000000e+00 -0.000000000000000000e+00 4.318999999999999773e+01
27
13
1 1 1 1 1 3 3 3 1 3 3 3 1 

0 0 0
1 1	6.222808447439534874e+00	-5.180109331543704278e-17
1 2	3.986135022936609496e-15	-1.888169221391025468e-15
1 3	-3.470801515103041148e-16	-3.387665481399502067e-16
1 4	-4.825321343554842555e-16	-1.300738796958261932e-15
1 5	3.356745282472934209e-16	-2.714243255749599307e-16
1 6	-1.036443848933843203e-16	3.577212029581658317e-16
1 7	-1.025306214675337557e+00	1.389902343523949182e-16
1 8	-8.132677240180697911e-17	-1.804307815810453927e-16
1 9	-8.601659786336894279e-16	1.599698923678507693e-16
1 10	-2.403417217083872792e+00	1.762291273298290410e-15
1 11	-1.522736239820036142e+00	-7.972270045873218992e-16
1 12	-1.755126833188941138e+00	1.426616745050997187e-15
1 13	-2.637456533894679378e+00	-9.598193542071046653e-16
1 14	-9.883189236289057211e-01	-4.300829893168447140e-16
1 15	-8.609503801920675992e-01	-5.559609374095796728e-16
1 16	-1.151177309004787659e-02	1.494800633601228561e-16
1 17	-1.491209801288401193e+00	-8.339414061143695092e-16
1 18	-5.706061966023500132e-01	-1.783270931313746483e-16
1 19	-2.403417217083872348e+00	1.342698112989173683e-15
1 20	-1.522736239820036364e+00	-6.923287145100427175e-16
1 21	1.755126833188940028e+00	-1.279759138942806155e-15
1 22	-2.637456533894680710e+00	-5.874304244327634372e-16
1 23	-9.883189236289052770e-01	-1.835720076352385926e-16
1 24	8.609503801920672661e-01	7.762473465718660234e-16
1 25	-1.151177309004738393e-02	2.465109816816061213e-16
1 26	1.491209801288400527e+00	7.028185435177706061e-16
1 27	-5.706061966023497911e-01	-2.622457251931980035e-16
2 1	3.713399468735683209e-15	2.097965801545584028e-15
2 2	7.362728218574390304e+00	-1.363677771004629707e-16
2 3	-1.072441892707400390e-15	1.668312944698315478e-15
2 4	3.188908018349287597e-15	3.671440152704771852e-16
2 5	2.307762381700142392e-16	3.849767245836146747e-15
2 6	2.809335972620107569e-15	-1.284512633921622173e-15
2 7	1.521025206120548282e-16	2.832253832086538300e-16
2 8	6.896302136829474021e-16	-9.093841629665574226e-16
2 9	1.840980829884984793e+00	2.276292894676958726e-15
2 10	1.451258891639470416e+00	-4.342789209199358891e-15
2 11	-6.380109838295181662e-03	2.097965801545583880e-17
2 12	1.264933314336623260e+00	4.405728183245726025e-16
2 13	1.434107803811973003e+00	5.612058519134436171e-16
2 14	-3.555490736811778296e-01	2.712276412810650094e-15
2 15	-1.754298583634683883e-01	-1.405637087035541212e-15
2 16	4.124611887646810193e-01	-1.332208283981445795e-15
2 17	8.062036832218577587e-01	9.781765549706284210e-16
2 18	8.185277111182023280e-01	2.129435288568767497e-15
2 19	1.451258891639467308e+00	-2.014047169483760525e-15
2 20	-6.380109838295223296e-03	5.454711084018518828e-16
2 21	-1.264933314336623704e+00	2.014047169483760525e-15
2 22	1.434107803811973447e+00	6.818388855023148536e-17
2 23	-3.555490736811771635e-01	1.558395221960578996e-15
2 24	1.754298583634673891e-01	2.097965801545584028e-15
2 25	4.124611887646801311e-01	-1.484310804593500672e-15
2 26	-8.062036832218562044e-01	2.242200950401842841e-16
2 27	8.185277111182013288e-01	8.654108931375533722e-16
3 1	-2.772241443226709311e-15	2.864348878129387147e-16
3 2	-7.702623449819944360e-16	-1.545055781329786649e-15
3 3	1.031048034037871020e+01	2.849755664206892929e-16
3 4	-2.849544135203992920e-15	-3.902311008842580829e-15
3 5	-1.623349979331351877e-15	3.645969971318012397e-16
3 6	2.233677964333063870e-15	-1.237799822911894600e-15
3 7	-1.507844226873325832e-15	3.175187091537234718e-17
3 8	-3.028938125981436458e-16	1.374167600012357546e-15
3 9	3.890338358103442329e-16	-1.126229328592086498e-15
3 10	3.175685315763243644e+00	-2.769314858040170870e-15
3 11	1.751111810151358750e+00	-3.482623230565669266e-15
3 12	1.372746162380859669e+00	1.174860848865526874e-15
3 13	3.033014624916066104e+00	3.291183851174634461e-15
3 14	9.988547291449407783e-01	8.968803801607371366e-16
3 15	3.942183994416102455e-01	-3.718644383239547252e-15
3 16	-8.651441599746242384e-01	6.105080482497648907e-15
3 17	6.828062971113513235e-01	-3.225622419876335108e-16
3 18	5.766890467531633480e-01	-1.405637087035541212e-15
3 19	-3.175685315763240979e+00	1.762291273298290410e-15
3 20	-1.751111810151360304e+00	-1.007023584741880263e-15
3 21	1.372746162380859003e+00	1.279759138942806155e-15
3 22	-3.033014624916067437e+00	-1.515780291616684338e-15
3 23	-9.988547291449412224e-01	-2.229088664142183129e-15
3 24	3.942183994416099124e-01	-9.650642687109685110e-16
3 25	8.651441599746242384e-01	-6.734470222961324589e-15
3 26	6.828062971113486590e-01	5.638283091653757372e-16
3 27	-5.766890467531605724e-01	1.825230247344658136e-15
4 1	-4.615524763400284783e-16	9.231049526800569566e-16
4 2	3.860257074843874044e-15	-2.097965801545584127e-16
4 3	-2.884160044421241452e-15	3.838408244863730103e-15
4 4	7.362728218574398298e+00	1.573474351159187972e-16
4 5	1.840980829884988124e+00	-1.930128537421937022e-15
4 6	2.894891675616351308e-15	4.397647855252375408e-16
4 7	-1.468576061081908593e-16	-8.391863206182335521e-17
4 8	1.114679404190323037e-16	7.128468794689471281e-16
4 9	5.244914503863960071e-16	3.734379126751139381e-15
4 10	2.513654135255657618e+00	-1.961598024445120885e-15
4 11	1.434107803811968340e+00	-2.202864091622863013e-16
4 12	2.190928768617520284e+00	9.860439267264244854e-16
4 13	1.649584943317279118e+00	2.895192806132905533e-15
4 14	4.079750043183006381e-01	1.342698112989173683e-15
4 15	8.062036832218600901e-01	-6.188999114559473002e-16
4 16	7.144037350906846662e-01	-8.968803801607371366e-16
4 17	7.554939686961477108e-01	5.244914503863960317e-17
4 18	-3.555490736811787178e-01	-2.063873857270468144e-15
4 19	2.513654135255660282e+00	-2.737845371016987007e-15
4 20	1.434107803811970783e+00	-9.755540977186963996e-16
4 21	-2.190928768617518951e+00	1.017513413749608151e-15
4 22	1.649584943317283114e+00	1.804250589329202359e-15
4 23	4.079750043183006381e-01	2.014047169483760525e-15
4 24	-8.062036832218587579e-01	-1.231899294095047651e-15
4 25	7.144037350906868866e-01	-2.779804687047898364e-16
