Date
2.459999999999999964e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.229999999999999982e+00 2.130422493309719112e+00 0.000000000000000000e+00
0.000000000000000000e+00 -0.000000000000000000e+00 2.000000000000000000e+01
8
117
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 
1 1 1 1 1 1 1 1 1 1 1 1 

0 1 0
1 1	-1.855795971954817825e+00	0.000000000000000000e+00	5.788287778037823350e-02	0.000000000000000000e+00
1 2	-2.355183939343768351e+00	0.000000000000000000e+00	8.571059570302748398e-02	0.000000000000000000e+00
1 3	-5.229558873373659436e-16	0.000000000000000000e+00	1.903157536076782374e-17	0.000000000000000000e+00
1 4	-1.442134236360299915e-16	0.000000000000000000e+00	5.248260334036275045e-18	0.000000000000000000e+00
1 5	-1.321803939123855076e-01	0.000000000000000000e+00	2.950956378931637609e-03	0.000000000000000000e+00
1 6	-1.939763573679275654e-01	0.000000000000000000e+00	4.838417203069366249e-03	0.000000000000000000e+00
1 7	-4.693597395205183323e-17	0.000000000000000000e+00	1.170739707116346286e-18	0.000000000000000000e+00
1 8	-8.399422660709703059e-02	0.000000000000000000e+00	2.095096105982861660e-03	0.000000000000000000e+00
2 1	2.355183939343768351e+00	0.000000000000000000e+00	-8.571059570302748398e-02	0.000000000000000000e+00
2 2	2.724186765824407885e+00	0.000000000000000000e+00	-1.207457974757083913e-01	0.000000000000000000e+00
2 3	6.985706120354285892e-16	0.000000000000000000e+00	-3.035641957365725103e-17	0.000000000000000000e+00
2 4	2.033426336054572243e-16	0.000000000000000000e+00	-8.776251137085870065e-18	0.000000000000000000e+00
2 5	1.939763573679275654e-01	0.000000000000000000e+00	-4.838417203069366249e-03	0.000000000000000000e+00
2 6	2.650965698038459939e-01	0.000000000000000000e+00	-7.581988440945958141e-03	0.000000000000000000e+00
2 7	7.087228716085836838e-17	0.000000000000000000e+00	-2.000304532922556153e-18	0.000000000000000000e+00
2 8	1.297127685625491245e-01	0.000000000000000000e+00	-3.650664145291930476e-03	0.000000000000000000e+00
3 1	5.229558873373659436e-16	0.000000000000000000e+00	-1.903157536076782374e-17	0.000000000000000000e+00
3 2	6.985706120354285892e-16	0.000000000000000000e+00	-3.035641957365725103e-17	0.000000000000000000e+00
3 3	-5.966504542954224055e-01	0.000000000000000000e+00	2.258126046779397253e-02	0.000000000000000000e+00
3 4	4.743941885771910488e-32	0.000000000000000000e+00	-2.035323256124079589e-33	0.000000000000000000e+00
3 5	4.693597395205183323e-17	0.000000000000000000e+00	-1.170739707116346286e-18	0.000000000000000000e+00
3 6	7.087228716085836838e-17	0.000000000000000000e+00	-2.000304532922556153e-18	0.000000000000000000e+00
3 7	-3.446223758383139962e-02	0.000000000000000000e+00	8.488592670748843286e-04	0.000000000000000000e+00
3 8	3.105106144984005659e-17	0.000000000000000000e+00	-8.750852539916008841e-19	0.000000000000000000e+00
4 1	1.442134236360299915e-16	0.000000000000000000e+00	-5.248260334036275045e-18	0.000000000000000000e+00
4 2	2.033426336054572243e-16	0.000000000000000000e+00	-8.776251137085870065e-18	0.000000000000000000e+00
4 3	4.743941885771910488e-32	0.000000000000000000e+00	-2.035323256124079589e-33	0.000000000000000000e+00
4 4	-5.966504542954227386e-01	0.000000000000000000e+00	2.258126046779398294e-02	0.000000000000000000e+00
4 5	8.399422660709703059e-02	0.000000000000000000e+00	-2.095096105982861660e-03	0.000000000000000000e+00
4 6	1.297127685625491245e-01	0.000000000000000000e+00	-3.650664145291930476e-03	0.000000000000000000e+00
4 7	3.105106144984005659e-17	0.000000000000000000e+00	-8.750852539916008841e-19	0.000000000000000000e+00
