2026-09-10T11:56:18
3.180000000000000160e+00 0.000000000000000000e+00 0.000000000000000000e+00
-1.590000000000000080e+00 2.753960784034514830e+00 0.000000000000000000e+00
0.000000000000000000e+00 -0.000000000000000000e+00 4.318999999999999773e+01
27
31
1 1 1 1 1 1 1 1 2 2 1 1 1 1 2 
2 2 2 1 2 2 2 2 1 1 1 1 2 2 1 
1 

0 0 0
1 1	6.212886753675171292e+00	-3.729937270088658420e-18
1 2	-2.190276296813589684e-15	-4.229499055915897852e-16
1 3	-1.857505328150580429e-16	1.480162365268343652e-16
1 4	-7.250569810141538048e-16	2.567910141091795054e-16
1 5	-3.625284905070769024e-16	-5.633824914325472856e-16
1 6	-1.215151311469897930e-16	8.533687277077024988e-17
1 7	-1.025091990948393095e+00	1.028115068241486338e-16
1 8	1.445688488047267673e-16	1.181810525665789358e-16
1 9	-9.365319338099487960e-16	-2.678840082848517609e-16
1 10	-2.402260566753034787e+00	2.114749527957948926e-16
1 11	-1.523823167966656955e+00	3.700811673926410374e-16
1 12	-1.756511131025070505e+00	4.909239975616667044e-16
1 13	-2.639339148668812918e+00	-2.076986143530128251e-16
1 14	-9.826123943157676344e-01	1.340600147187628047e-16
1 15	-8.606551220820154446e-01	-4.531606131338461280e-16
1 16	-1.767650404730626221e-02	-2.537227391244190817e-16
1 17	-1.490698399240446559e+00	3.851865211637692088e-16
1 18	-5.673115303672714438e-01	-1.963695990246666719e-16
1 19	-2.402260566753034343e+00	-3.927391980493333438e-16
1 20	-1.523823167966657621e+00	5.437927357606153536e-16
1 21	1.756511131025068950e+00	-2.870017216514358975e-16
1 22	-2.639339148668814694e+00	2.964425677583910170e-16
1 23	-9.826123943157671903e-01	3.965155364921153620e-17
1 24	8.606551220820154446e-01	9.403082722527307649e-16
1 25	-1.767650404730618588e-02	-9.629663029094230220e-17
1 26	1.490698399240445893e+00	-1.472771992684999916e-16
1 27	-5.673115303672713328e-01	-4.437197670268910579e-16
2 1	-1.948590636475538548e-15	9.440846106955127338e-16
2 2	7.401400472533025798e+00	-7.623666564914497131e-18
2 3	3.734839915395880061e-16	-6.086924131847194289e-16
2 4	2.175170943042461414e-15	1.263439952347314724e-16
2 5	1.419903254486051267e-15	-5.740034433028717950e-16
2 6	9.532989114448515309e-16	-3.005953934381442377e-16
2 7	-5.664507664173076600e-17	1.114019840620704983e-16
2 8	1.827597890914697080e-16	-2.851520731395834057e-16
2 9	1.840952075287914713e+00	2.907780600942179650e-16
2 10	1.453830958319886069e+00	-3.776338442782051231e-16
2 11	-8.383202231345497201e-04	-2.416856603380512847e-16
2 12	1.266793240630746276e+00	-1.253744363003641086e-15
2 13	1.431958996799223005e+00	7.420505040066730593e-16
2 14	-3.545374694891005318e-01	-1.401965646882836520e-16
2 15	-1.678894277462974760e-01	-7.401623347852820748e-16
2 16	4.113848592954217342e-01	-2.265803065669230640e-16
2 17	8.040234165372611708e-01	-7.269451502355449125e-17
2 18	8.249711348751254114e-01	-4.928121667830576889e-16
2 19	1.453830958319886291e+00	4.305025824771538709e-16
2 20	-8.383202231345346497e-04	-2.870017216514358975e-16
2 21	-1.266793240630746276e+00	1.552075099983423136e-15
2 22	1.431958996799224337e+00	5.098056897755769433e-16
2 23	-3.545374694891014755e-01	1.274514224438942389e-17
2 24	1.678894277462973650e-01	3.965155364921154113e-16
2 25	4.113848592954220118e-01	2.265803065669230640e-17
2 26	-8.040234165372602826e-01	-3.908510288279422608e-16
2 27	8.249711348751250783e-01	6.986226119146795295e-17
3 1	-2.410297004779754656e-15	-1.767582300256810315e-16
3 2	7.495685668655895123e-16	6.343127225749576121e-16
3 3	1.031042709082155007e+01	-2.197266853133681938e-17
3 4	-9.107674417348677087e-16	-4.414588183850190507e-16
3 5	-3.149603279772344054e-16	-5.906617119687172473e-17
3 6	-5.050852667220993713e-17	2.133631220171859264e-16
3 7	-8.763239436941369024e-16	2.194841464184461956e-16
3 8	7.557397308617580416e-16	-1.221645486239993561e-15
3 9	-4.142477551481819855e-16	1.735589889671417923e-16
3 10	3.177973226457060374e+00	-8.307944574120513004e-16
3 11	1.750874342776244319e+00	3.398704598503845960e-16
3 12	1.375267256982535713e+00	5.966614739595641014e-16
3 13	3.032603319357222826e+00	-8.232417805264872640e-16
3 14	9.988069138407875691e-01	3.649831104948852808e-15
3 15	3.940521683635910266e-01	-2.775608755444807781e-16
3 16	-8.635968277356027567e-01	7.590440269991924123e-16
3 17	6.825183764384245011e-01	-1.272626055217551325e-15
3 18	5.766614405744403538e-01	1.000729687337243574e-16
3 19	-3.177973226457059930e+00	-3.323177829648205103e-16
3 20	-1.750874342776243875e+00	4.380552593627179073e-16
3 21	1.375267256982534825e+00	-1.888169221391025616e-16
3 22	-3.032603319357222826e+00	-3.398704598503845960e-17
3 23	-9.988069138407850156e-01	-3.141913584394666751e-15
3 24	3.940521683635896388e-01	7.741493807703205098e-17
3 25	8.635968277356019795e-01	-4.342789209199359384e-16
3 26	6.825183764384233909e-01	-1.479380584959868559e-15
3 27	-5.766614405744406868e-01	3.039952446439551520e-16
4 1	-4.229499055915897852e-16	-1.510535377112820529e-17
