#	REAL	NALLORB	NKPOINT
	T	30	1
#IKPOINT
	1
#MATRIX
-5.048917200000000438e-01	+0.000000000000000000e+00	+0.000000000000000000e+00	+0.000000000000000000e+00	-2.919434601121506656e-01	-1.487801314016430065e-01	+6.607164227756928536e-17	+2.576947014082561216e-01	-3.413585250639979835e-02	-4.083240963020857983e-02	+1.046922622140734631e-17	+2.357459854418885586e-02	-1.243585661930739043e-02	-1.886940635211960260e-02	+4.189849878626273360e-18	+1.155417904546700242e-18	-3.413585250639979835e-02	-4.083240963020857983e-02	+1.046922622140734631e-17	-2.357459854418886280e-02	-2.919434601121506656e-01	-1.487801314016430343e-01	+6.607164227756928536e-17	-2.576947014082561216e-01	-3.321711405530506367e-01	-5.004609799934132269e-02	-1.789094995639634077e-03	-3.702272998611457790e-04	-1.789094995639634077e-03	-5.004609799934132269e-02
+0.000000000000000000e+00	-1.943551099999999976e-01	+0.000000000000000000e+00	+0.000000000000000000e+00	+1.487801314016430065e-01	-2.994833341526940973e-02	-3.894893650360192881e-17	-1.680103966003646254e-01	+4.083240963020857983e-02	+4.183597819238111387e-02	-1.305420335190423802e-17	-3.023193985018270483e-02	+1.886940635211960260e-02	+2.663951364742285499e-02	-6.476471176602304405e-18	-1.850106478643116121e-18	+4.083240963020857983e-02	+4.183597819238110693e-02	-1.305420335190423802e-17	+3.023193985018271523e-02	+1.487801314016430343e-01	-2.994833341526938197e-02	-3.894893650360193498e-17	+1.680103966003646809e-01	-2.815814227180153950e-01	+4.262664666448871993e-03	+2.264316691443184985e-03	+6.443614936647375398e-04	+2.264316691443184985e-03	+4.262664666448866789e-03
+0.000000000000000000e+00	+0.000000000000000000e+00	-1.943551099999999976e-01	+0.000000000000000000e+00	-6.607164227756928536e-17	-3.894893650360192881e-17	-1.269491981844801387e-01	+7.013193625477974681e-17	-1.046922622140734631e-17	-1.305420335190423802e-17	-1.052728685175586404e-02	+7.408995842331041143e-18	-4.189849878626273360e-18	-6.476471176602304405e-18	-3.575018084195306662e-03	+4.245171331441954908e-34	-1.046922622140734631e-17	-1.305420335190423802e-17	-1.052728685175586404e-02	-7.408995842331042684e-18	-6.607164227756928536e-17	-3.894893650360193498e-17	-1.269491981844801387e-01	-7.013193625477974681e-17	-6.252363576164996384e-17	-1.324087906584632570e-17	-6.487419911447980734e-19	-1.430769932896897111e-19	-6.487419911447980734e-19	-1.324087906584632570e-17
+0.000000000000000000e+00	+0.000000000000000000e+00	+0.000000000000000000e+00	-1.943551099999999976e-01	-2.576947014082561216e-01	-1.680103966003646254e-01	+7.013193625477974681e-17	+1.640532937311542927e-01	-2.357459854418885586e-02	-3.023193985018270483e-02	+7.408995842331041143e-18	+6.927128688120797601e-03	-1.155417904546700242e-18	-1.850106478643116121e-18	+4.245171331441954908e-34	-3.575018084195308397e-03	+2.357459854418886280e-02	+3.023193985018271523e-02	-7.408995842331042684e-18	+6.927128688120808009e-03	+2.576947014082561216e-01	+1.680103966003646809e-01	-7.013193625477974681e-17	+1.640532937311542927e-01	-1.724188940154876815e-17	-5.947906823799305881e-02	-1.846361283959800691e-03	-3.945576203551641425e-20	+1.846361283959800691e-03	+5.947906823799305881e-02
-2.919434601121506656e-01	+1.487801314016430343e-01	+6.607164227756928536e-17	-2.576947014082561216e-01	-5.048917200000000438e-01	+0.000000000000000000e+00	+0.000000000000000000e+00	+0.000000000000000000e+00	-2.919433727256260380e-01	-2.975601530118343052e-01	+6.607162661694461319e-17	+1.822030444698697576e-17	-3.413585250639979835e-02	-4.083240963020857983e-02	+1.046922622140734631e-17	-2.357459854418886280e-02	-1.243586970764282151e-02	-9.434713524785649785e-03	+4.189853921543842200e-18	-1.634140030484758713e-02	-3.413588018865062329e-02	+5.774116287171894801e-18	+1.046923382863473645e-17	-4.714923756949399025e-02	-5.004613056496529100e-02	-3.321709894168488053e-01	-5.004609879926990440e-02	-1.789096057697896159e-03	-3.702273375065067286e-04	-1.789095820804196407e-03
-1.487801314016430343e-01	-2.994833341526938197e-02	+3.894893650360193498e-17	-1.680103966003646809e-01	+0.000000000000000000e+00	-1.943551099999999976e-01	+0.000000000000000000e+00	+0.000000000000000000e+00	+2.975601530118343052e-01	+2.610541130495645512e-01	-7.789784719206512501e-17	-2.375834750903053612e-17	+4.083240963020857983e-02	+4.183597819238110693e-02	-1.305420335190423802e-17	+3.023193985018271523e-02	+9.434713524785649785e-03	+3.978619560324136994e-03	-3.238238828246722793e-18	+1.308328879303415765e-02	-5.774116287171894801e-18	-1.052729608263377505e-02	+1.979275949309375158e-33	-8.550205553933026269e-18	-4.937908191160818999e-02	-1.407906169904218074e-01	+5.364171305884703894e-02	+2.731155675435541566e-03	+3.221807806697804294e-04	-4.668375217891737204e-04
-6.607164227756928536e-17	+3.894893650360193498e-17	-1.269491981844801387e-01	-7.013193625477974681e-17	+0.000000000000000000e+00	+0.000000000000000000e+00	-1.943551099999999976e-01	+0.000000000000000000e+00	-6.607162661694461319e-17	-7.789784719206512501e-17	-1.269491467568060750e-01	+5.762290443795964956e-33	-1.046922622140734631e-17	-1.305420335190423802e-17	-1.052728685175586404e-02	-7.408995842331042684e-18	-4.189853921543842200e-18	-3.238238828246722793e-18	-3.575022075129765872e-03	-5.683994760573590179e-18	-1.046923382863473645e-17	+1.979275949309375158e-33	-1.052729608263376984e-02	-1.481800306348934307e-17	-1.324088647341922223e-17	-6.252361334056910429e-17	-1.324087924780290672e-17	-6.487423557261301072e-19	-1.430770072326824218e-19	-6.487422744057148837e-19
+2.576947014082561216e-01	-1.680103966003646809e-01	-7.013193625477974681e-17	+1.640532937311542927e-01	+0.000000000000000000e+00	+0.000000000000000000e+00	+0.000000000000000000e+00	-1.943551099999999976e-01	-1.822030444698697576e-17	-2.375834750903053612e-17	+5.762290443795964956e-33	-1.269491467568061305e-01	+2.357459854418886280e-02	+3.023193985018271523e-02	-7.408995842331042684e-18	+6.927128688120808009e-03	+1.634140030484758713e-02	+1.308328879303415765e-02	-5.683994760573590179e-18	+1.908589485777252570e-02	+4.714923756949399025e-02	-8.550205553933026269e-18	-1.481800306348934307e-17	+5.929043062751655074e-02	+3.343112497054713528e-02	-2.438566031947425050e-01	-2.604796702935084640e-02	+1.037775669859431057e-03	+5.580334757059789369e-04	+2.884137696544380926e-03
-3.413585250639979835e-02	+4.083240963020857983e-02	+1.046922622140734631e-17	-2.357459854418886280e-02	-2.919433727256260380e-01	+2.975601530118343052e-01	+6.607162661694461319e-17	+1.822030444698697576e-17	-5.048917200000000438e-01	+0.000000000000000000e+00	+0.000000000000000000e+00	+0.000000000000000000e+00	-2.919434601121506656e-01	-1.487801314016430343e-01	+6.607164227756928536e-17	-2.576947014082561216e-01	-3.413588018865062329e-02	+5.774116287171894801e-18	+1.046923382863473645e-17	-4.714923756949399025e-02	-1.243586970764282151e-02	+9.434713524785649785e-03	+4.189853921543842200e-18	-1.634140030484758713e-02	-1.789096057697896159e-03	-5.004609879926990440e-02	-3.321709894168488053e-01	-5.004613056496529100e-02	-1.789095820804196407e-03	-3.702273375065067286e-04
-4.083240963020857983e-02	+4.183597819238110693e-02	+1.305420335190423802e-17	-3.023193985018271523e-02	-2.975601530118343052e-01	+2.610541130495645512e-01	+7.789784719206512501e-17	+2.375834750903053612e-17	+0.000000000000000000e+00	-1.943551099999999976e-01	+0.000000000000000000e+00	+0.000000000000000000e+00	+1.487801314016430343e-01	-2.994833341526938197e-02	-3.894893650360193498e-17	+1.680103966003646809e-01	-5.774116287171894801e-18	-1.052729608263377505e-02	+1.979275949309375158e-33	-8.550205553933026269e-18	-9.434713524785649785e-03	+3.978619560324136994e-03	+3.238238828246722793e-18	-1.308328879303415765e-02	-2.731155675435541566e-03	-5.364171305884703894e-02	+1.407906169904218074e-01	+4.937908191160818999e-02	+4.668375217891737204e-04	-3.221807806697804294e-04
